NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2,HurricaneName
"PERRY, FL US",30.09861,-83.57417,7/10/2005,,,dennis
"BUSHNELL 1 E, FL US",28.66641,-82.08947,7/10/2005,,,dennis
"BROOKSVILLE CHIN HIL, FL US",28.6164,-82.3658,7/10/2005,,,dennis
"BRIGHTON RESERVATION, FL US",27.0436,-81.0701,7/10/2005,,,dennis
"FERNANDINA BEACH, FL US",30.6669,-81.4525,7/10/2005,,,dennis
"MAYO, FL US",30.1063,-83.1819,7/10/2005,,,dennis
"CRESCENT CITY, FL US",29.425,-81.5161,7/10/2005,,,dennis
"PANAMA CITY BAY CO AIRPORT, FL US",30.21194,-85.68278,7/10/2005,23.71,38.0,dennis
"GLEN ST MARY 1 W, FL US",30.2717,-82.1856,7/10/2005,,,dennis
"LIVE OAK, FL US",30.2889,-82.965,7/10/2005,,,dennis
"PUNTA GORDA 4 ESE, FL US",26.91463,-81.99682,7/10/2005,,,dennis
"MYAKKA RIVER ST PK, FL US",27.24012,-82.31525,7/10/2005,,,dennis
"MOORE HAVEN LOCK 1, FL US",26.84,-81.0872,7/10/2005,,,dennis
"VERO BEACH 4 SE, FL US",27.6527,-80.403,7/10/2005,,,dennis
"ISLAMORADA, FL US",24.9177,-80.6364,7/10/2005,,,dennis
"SOUTH BAY 15 S, FL US",26.47,-80.6402,7/10/2005,,,dennis
"CAPE FLORIDA, FL US",25.6719,-80.1566,7/10/2005,,,dennis
"WINTER HAVEN, FL US",28.0153,-81.7331,7/10/2005,,,dennis
"ROYAL PALM RANGER STATION, FL US",25.3866,-80.5936,7/10/2005,,,dennis
"FORT LAUDERDALE, FL US",26.1019,-80.2011,7/10/2005,,,dennis
"DAYTONA BEACH INTERNATIONAL AIRPORT, FL US",29.17351,-81.07185,7/10/2005,8.95,21.9,dennis
"ST PETERSBURG, FL US",27.76846,-82.62569,7/10/2005,,,dennis
"CROSS CITY AIRPORT, FL US",29.63333,-83.10528,7/10/2005,11.41,25.9,dennis
"FORT LAUDERDALE BEACH, FL US",26.1408,-80.1061,7/10/2005,,,dennis
"APALACHICOLA AIRPORT, FL US",29.72681,-85.02481,7/10/2005,19.46,30.0,dennis
"CHIPLEY, FL US",30.7806,-85.5503,7/10/2005,,,dennis
"NORTH MIAMI BEACH NUMBER 2, FL US",25.95,-80.2158,7/10/2005,,,dennis
"ARCADIA, FL US",27.21785,-81.8742,7/10/2005,,,dennis
"MIAMI INTERNATIONAL AIRPORT, FL US",25.78805,-80.31694,7/10/2005,11.86,21.0,dennis
"MELBOURNE INTERNATIONAL AIRPORT, FL US",28.09969,-80.6356,7/10/2005,13.2,21.9,dennis
"KEY WEST INTERNATIONAL AIRPORT, FL US",24.55706,-81.75539,7/10/2005,17.45,32.0,dennis
"FORT MYERS PAGE FIELD AIRPORT, FL US",26.58495,-81.86146,7/10/2005,12.97,21.9,dennis
"OLUSTEE FLORIDA, FL US",30.2,-82.4,7/10/2005,,,dennis
"MILES CITY FLORIDA, FL US",26.2483,-81.2967,7/10/2005,,,dennis
"CENTRAL FLORIDA, FL US",29.105,-81.63,7/10/2005,,,dennis
"WEST PALM BEACH INTERNATIONAL AIRPORT, FL US",26.6851,-80.09918,7/10/2005,15.88,34.9,dennis
"VERO BEACH INTERNATIONAL AIRPORT, FL US",27.6553,-80.41425,7/10/2005,14.76,33.1,dennis
"SUMATRA FLORIDA, FL US",30.0175,-84.9842,7/10/2005,,,dennis
"TAMPA INTERNATIONAL AIRPORT, FL US",27.96331,-82.54,7/10/2005,13.87,25.9,dennis
"ORLANDO EXECUTIVE AIRPORT, FL US",28.54653,-81.33544,7/10/2005,14.09,23.9,dennis
"MARCO ISLAND, FL US",25.9491,-81.7138,7/10/2005,,,dennis
"TEN MILE CORNER FLORIDA, FL US",25.6097,-80.8503,7/10/2005,,,dennis
"RACCOON POINT FLORIDA, FL US",25.9708,-80.9,7/10/2005,,,dennis
"SANFORD, FL US",28.8147,-81.2778,7/10/2005,,,dennis
"ST. MARKS EAST FLORIDA, FL US",30.1333,-84.1333,7/10/2005,,,dennis
"PLANTATION, FL US",26.11083,-80.27278,7/10/2005,,,dennis
"USHER TOWER, FL US",29.40807,-82.8188,7/10/2005,,,dennis
"FLAMINGO RANGER STATION, FL US",25.1422,-80.9144,7/10/2005,,,dennis
"PUNTA GORDA CHARLOTTE CO AIRPORT, FL US",26.91847,-81.99391,7/10/2005,14.54,28.0,dennis
"DEVILS GARDEN, FL US",26.66388,-81.08998,7/10/2005,,,dennis
"ST MARKS NWR, FL US",30.19222,-84.21167,7/10/2005,,,dennis
"CLERMONT 9 S, FL US",28.4558,-81.7234,7/10/2005,,,dennis
"FOREVER FLORIDA, FL US",28.0425,-81.03722,7/10/2005,,,dennis
"ORTONA LOCK 2, FL US",26.7897,-81.3044,7/10/2005,,,dennis
"OCALA, FL US",29.1638,-82.0777,7/10/2005,,,dennis
"LEESBURG MUNICIPAL AIRPORT, FL US",28.82143,-81.80963,7/10/2005,13.65,29.1,dennis
"BROOKSVILLE HERNANDO CO AIRPORT, FL US",28.47388,-82.45374,7/10/2005,13.42,28.0,dennis
