NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2,HurricaneName
"MIAMI 6.7 WSW, FL US",25.74170113,-80.32217407,10/7/2016,,,matthew
"LINDGREN ACRES 0.7 SW, FL US",25.6633578,-80.4096612,10/7/2016,,,matthew
"DADE CITY 1.8 WSW, FL US",28.352214,-82.222508,10/7/2016,,,matthew
"CUTLER RIDGE 1.7 SSW, FL US",25.560043,-80.357536,10/7/2016,,,matthew
"DADE CITY 4.3 N, FL US",28.422509,-82.206011,10/7/2016,,,matthew
"BISCAYNE PARK 0.3 E, FL US",25.881971,-80.176893,10/7/2016,,,matthew
"DELAND 1 SSE, FL US",29.00982,-81.29804,10/7/2016,,,matthew
"SOUTH MIAMI 0.5 N, FL US",25.715589,-80.296772,10/7/2016,,,matthew
"DE FUNIAK SPRINGS 2.9 N, FL US",30.76166667,-86.12277778,10/7/2016,,,matthew
"INLET BEACH 0.7 E, FL US",30.276034,-85.996513,10/7/2016,,,matthew
"MOUNTAIN LAKE, FL US",27.93779,-81.59928,10/7/2016,,,matthew
"NORTH MIAMI 1.4 W, FL US",25.903217,-80.191433,10/7/2016,,,matthew
"HUDSON 1.1 ESE, FL US",28.350519,-82.683631,10/7/2016,,,matthew
"PORT RICHEY 2.0 NNE, FL US",28.3014,-82.7146,10/7/2016,,,matthew
"SUNSET 1.1 NE, FL US",25.71793,-80.340209,10/7/2016,,,matthew
"NORTH MIAMI 1.0 SSW, FL US",25.88722,-80.176666,10/7/2016,,,matthew
"GAINESVILLE 3.8 W, FL US",29.680193,-82.398823,10/7/2016,,,matthew
"MIAMI 15.1 WSW, FL US",25.741544,-80.438633,10/7/2016,,,matthew
"PORT CHARLOTTE 6.2 W, FL US",26.980545,-82.209412,10/7/2016,,,matthew
"MICANOPY 8.5 W, FL US",29.5093,-82.4222,10/7/2016,,,matthew
"HIGH SPRINGS 3.2 SW, FL US",29.786949,-82.627651,10/7/2016,,,matthew
"PENSACOLA 1.9 NE, FL US",30.466405,-87.171483,10/7/2016,,,matthew
"THE VILLAGES 4.8 SSW, FL US",28.868717,-81.984241,10/7/2016,,,matthew
"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,10/7/2016,28.41,47.0,matthew
"PENSACOLA 18.9 WSW, FL US",30.312955,-87.467244,10/7/2016,,,matthew
"ARCHER 5.5 E, FL US",29.527244,-82.427072,10/7/2016,,,matthew
"ZEPHYRHILLS NORTH 2.3 N, FL US",28.2839,-82.16144,10/7/2016,,,matthew
"BROOKER 6.6 SSE, FL US",29.80059,-82.283616,10/7/2016,,,matthew
"CUTLER RIDGE 1.5 SSW, FL US",25.56100464,-80.35260773,10/7/2016,,,matthew
"VERO BEACH 2.4 W, FL US",27.643772,-80.433882,10/7/2016,,,matthew
"VERNON 10.6 WSW, FL US",30.567783,-85.87305,10/7/2016,,,matthew
"PORT CHARLOTTE 1.9 ENE, FL US",26.99603,-82.079741,10/7/2016,,,matthew
"PERRY 2.0 S, FL US",30.080322,-83.586422,10/7/2016,,,matthew
"PUNTA GORDA 1.6 NNW, FL US",26.91748,-82.0689,10/7/2016,,,matthew
"GAINESVILLE 8.1 SW, FL US",29.5908,-82.4314,10/7/2016,,,matthew
"THE VILLAGES 2.8 ESE, FL US",28.903275,-81.965788,10/7/2016,,,matthew
"JUNO BEACH, FL US",26.86,-80.0552,10/7/2016,,,matthew
"ENGLEWOOD 5.4 ESE, FL US",26.936483,-82.270692,10/7/2016,,,matthew
"PORT CHARLOTTE 3.3 E, FL US",26.982827,-82.0552,10/7/2016,,,matthew
"OXFORD 1.2 ENE, FL US",28.93628508,-82.0210062,10/7/2016,,,matthew
"DADE CITY 4.3 S, FL US",28.30069,-82.183906,10/7/2016,,,matthew
"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,10/7/2016,,,matthew
"BUSHNELL 1.0 NNW, FL US",28.6785,-82.1205,10/7/2016,,,matthew
"CURRY HAMMOCK STATE PARK, FL US",24.74257,-80.98193,10/7/2016,,,matthew
"DESOTO CITY, FL US",27.3697,-81.5136,10/7/2016,,,matthew
"DADE CITY 4.6 SSE, FL US",28.2968,-82.1773,10/7/2016,,,matthew
"SOUTH MIAMI HEIGHTS 6.4 W, FL US",25.5827601,-80.4879962,10/7/2016,,,matthew
"CHEKIKA FLORIDA, FL US",25.625,-80.5797,10/7/2016,,,matthew
"GAINESVILLE 6.5 NW, FL US",29.737964,-82.416213,10/7/2016,,,matthew
"LAKE PLACID 1.1 WSW, FL US",27.2877,-81.3853,10/7/2016,,,matthew
"LAKE PLACID 9.4 SE, FL US",27.2054,-81.2574,10/7/2016,,,matthew
"AVON PARK 0.8 E, FL US",27.59295,-81.490069,10/7/2016,,,matthew
"GONZALEZ 2.5 NNW, FL US",30.60403,-87.31218,10/7/2016,,,matthew
"HOLIDAY 0.6 E, FL US",28.187464,-82.73213,10/7/2016,,,matthew
"LAND O LAKES 1.8 SE, FL US",28.20266,-82.43405,10/7/2016,,,matthew
"BUSHNELL 1 E, FL US",28.66641,-82.08947,10/7/2016,,,matthew
"SEBASTIAN 1.7 SSE, FL US",27.763426,-80.474196,10/7/2016,,,matthew
"VERO BEACH 3.4 W, FL US",27.642899,-80.44938,10/7/2016,,,matthew
"GAINESVILLE 1.7 SE, FL US",29.65547,-82.31708,10/7/2016,,,matthew
"MAYO, FL US",30.1063,-83.1819,10/7/2016,,,matthew
"VERO BEACH 3.5 SSW, FL US",27.59959,-80.416643,10/7/2016,,,matthew
"VERO BEACH 6.0 SSE, FL US",27.5598,-80.388936,10/7/2016,,,matthew
"SYLVAN SHORES 8.5 NE, FL US",27.405027,-81.246061,10/7/2016,,,matthew
"SEBRING 4.7 WNW, FL US",27.515983,-81.525033,10/7/2016,,,matthew
"GAINESVILLE 3.4 S, FL US",29.62616667,-82.32583333,10/7/2016,,,matthew
"AVON PARK 0.6 NW, FL US",27.60047,-81.509323,10/7/2016,,,matthew
"GONZALEZ 2.1 E, FL US",30.568513,-87.254739,10/7/2016,,,matthew
"LADY LAKE 5.0 W, FL US",28.92495,-82.0119,10/7/2016,,,matthew
"SEBRING 3.5 S, FL US",27.440696,-81.460344,10/7/2016,,,matthew
