RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31
394388,51,"Birmingham, AL",msa,AL,199000.0,204950.0,214900.0,225000.0,229000.0,226360.0,226250.0,224900.0,219900.0,215000.0,215250.0,218463.0,219900.0,229900.0,239000.0,244900.0,249000.0,249475.0,249000.0,245000.0,245950.0,249900.0,249900.0,249000.0,245000.0,249900.0,249900.0,249900.0,255850.0,259900.0,254900.0,251900.0,249900.0,240950.0,234900.0,235000.0,244900.0,245000.0,250000.0,260000.0,264900.0,259900.0,259900.0,255000.0,259900.0,260000.0,249900.0,249900.0,245000.0,250000.0,250000.0,269900.0,275000.0,279000.0,275000.0,275000.0,277850.0,269900.0,267500.0,264900.0,260000.0,265000.0,269900.0
395031,52,"Rochester, NY",msa,NY,157575.0,166900.0,169900.0,179900.0,179900.0,179900.0,169900.0,169900.0,169900.0,164900.0,164900.0,165500.0,169900.0,179900.0,179900.0,189900.0,190000.0,189900.0,189900.0,184900.0,179900.0,178950.0,175000.0,174900.0,171500.0,185000.0,194900.0,204900.0,210000.0,201100.0,199900.0,192500.0,185000.0,184900.0,185000.0,189900.0,190000.0,189945.0,189900.0,189900.0,194900.0,199900.0,194500.0,184900.0,179900.0,175000.0,169900.0,164900.0,169900.0,174900.0,179900.0,189500.0,199900.0,199900.0,199900.0,198894.0,189900.0,192000.0,184900.0,184900.0,185000.0,189900.0,199900.0
394640,53,"Grand Rapids, MI",msa,MI,227750.0,239900.0,244950.0,249900.0,249900.0,249900.0,249900.0,244250.0,242000.0,245000.0,243450.0,239900.0,239700.0,239900.0,239900.0,249900.0,249900.0,246000.0,249900.0,245000.0,239900.0,234900.0,234900.0,230000.0,230000.0,244900.0,249000.0,265000.0,257900.0,247000.0,250000.0,249900.0,247000.0,239900.0,239900.0,240000.0,239900.0,250000.0,259900.0,259900.0,269900.0,269900.0,264900.0,265000.0,264000.0,259900.0,264900.0,250000.0,269900.0,275000.0,289900.0,294700.0,306000.0,319900.0,324900.0,319000.0,299900.0,299900.0,299900.0,299900.0,299900.0,312450.0,324900.0
395167,54,"Tucson, AZ",msa,AZ,239900.0,245000.0,248000.0,249900.0,249900.0,249900.0,250000.0,249500.0,255000.0,254900.0,259000.0,259000.0,259000.0,261950.0,265000.0,269000.0,269900.0,265000.0,265333.0,265000.0,265000.0,265000.0,269000.0,269900.0,269000.0,274000.0,275000.0,270000.0,276723.0,284025.0,284900.0,287000.0,282900.0,279900.0,285000.0,288000.0,295000.0,296500.0,299900.0,310000.0,321000.0,324900.0,325000.0,335000.0,339000.0,335000.0,339000.0,340000.0,339500.0,349500.0,359949.0,365000.0,375000.0,375000.0,375000.0,365000.0,360000.0,359000.0,354900.0,349900.0,351500.0,359900.0,370000.0
753924,55,"Urban Honolulu, HI",msa,HI,640000.0,630000.0,625000.0,630000.0,648000.0,650000.0,649200.0,650000.0,649000.0,646500.0,650000.0,650000.0,650000.0,649000.0,650000.0,650000.0,655000.0,650000.0,648000.0,649000.0,640000.0,639900.0,639900.0,640000.0,625000.0,625000.0,620000.0,609250.0,599400.0,609250.0,615000.0,605000.0,595000.0,591000.0,599000.0,609500.0,600000.0,580000.0,598000.0,620000.0,630000.0,659500.0,689000.0,689750.0,680000.0,685000.0,688000.0,679000.0,670000.0,677000.0,700000.0,748500.0,755000.0,775000.0,795000.0,800000.0,780000.0,780000.0,778000.0,780000.0,789000.0,765000.0,770000.0
395169,56,"Tulsa, OK",msa,OK,188500.0,195000.0,199900.0,200000.0,199999.0,199999.0,200000.0,199900.0,200000.0,200000.0,204900.0,209000.0,205000.0,209000.0,219000.0,220000.0,219900.0,224900.0,220000.0,220500.0,224900.0,229900.0,234900.0,232500.0,224900.0,225000.0,229900.0,236994.0,239900.0,247500.0,249900.0,245000.0,239900.0,239500.0,239000.0,239900.0,235000.0,229900.0,240000.0,240000.0,245000.0,242000.0,239900.0,245900.0,249900.0,249000.0,240000.0,244000.0,244900.0,257000.0,250000.0,263802.0,269900.0,275000.0,275000.0,280000.0,281390.0,285000.0,285000.0,299000.0,300000.0,319000.0,315000.0
394619,57,"Fresno, CA",msa,CA,291000.0,294000.0,297950.0,300000.0,309000.0,309975.0,309000.0,300000.0,304995.0,303990.0,303445.0,304250.0,299900.0,299900.0,300000.0,314950.0,320000.0,325000.0,325490.0,320000.0,320000.0,319900.0,315000.0,315900.0,314950.0,315000.0,324900.0,325250.0,327000.0,335000.0,340000.0,344900.0,339000.0,335000.0,340000.0,335000.0,349000.0,347000.0,350000.0,365000.0,375000.0,379999.0,380000.0,380000.0,385000.0,393250.0,397500.0,414250.0,390000.0,389894.0,409900.0,425000.0,425000.0,425000.0,425000.0,425000.0,420000.0,419900.0,412900.0,414450.0,419950.0,415000.0,419000.0
395238,58,"Worcester, MA",msa,MA,259500.0,264900.0,270000.0,289900.0,299900.0,299900.0,299900.0,299000.0,298700.0,289900.0,289900.0,287000.0,279900.0,289900.0,308900.0,319900.0,325000.0,329000.0,320000.0,315000.0,315000.0,316500.0,319000.0,314700.0,299900.0,314450.0,325000.0,334900.0,339000.0,345000.0,349900.0,345000.0,339000.0,334900.0,329900.0,334950.0,334900.0,359450.0,364900.0,369450.0,369900.0,385000.0,379900.0,379000.0,375900.0,369950.0,369900.0,359900.0,369900.0,389000.0,399900.0,400000.0,425000.0,429900.0,424900.0,424900.0,425000.0,419900.0,419900.0,429900.0,435000.0,449900.0,459900.0
394938,59,"Omaha, NE",msa,NE,233400.0,245000.0,245000.0,246500.0,247200.0,245000.0,249000.0,245250.0,240000.0,235000.0,231150.0,239200.0,242500.0,254556.0,270000.0,270000.0,262500.0,260000.0,261480.0,249900.0,245000.0,240000.0,235000.0,228000.0,225000.0,235950.0,247950.0,250000.0,258000.0,260000.0,255000.0,239250.0,235000.0,225000.0,215000.0,210000.0,212000.0,215000.0,230000.0,235000.0,235000.0,235000.0,235000.0,225698.0,225000.0,225000.0,220000.0,210000.0,220000.0,244950.0,254000.0,265000.0,274800.0,275000.0,275000.0,270000.0,269900.0,264900.0,259000.0,250000.0,262000.0,275000.0,295000.0
394415,60,"Bridgeport, CT",msa,CT,589900.0,649900.0,659950.0,679900.0,675000.0,665000.0,650000.0,643250.0,649000.0,649999.0,649948.0,649000.0,639450.0,655000.0,649900.0,669000.0,649900.0,647000.0,624948.0,599900.0,599600.0,600000.0,619000.0,612500.0,599000.0,625000.0,629000.0,648438.0,665000.0,650000.0,639000.0,629000.0,635000.0,620000.0,599900.0,599000.0,589000.0,619000.0,629950.0,639000.0,649000.0,599900.0,589000.0,559000.0,550000.0,549000.0,547900.0,547250.0,556500.0,629000.0,629000.0,629000.0,650000.0,669000.0,639900.0,629000.0,600000.0,624900.0,621000.0,625000.0,599900.0,650000.0,699000.0
