NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2
"PALM SHORES 1.4 W, FL US",28.18825,-80.680461,9/11/2017,,
"NICEVILLE 2.3 SE, FL US",30.504883,-86.45918,9/11/2017,,
"NICEVILLE 3.6 SE, FL US",30.49385,-86.439794,9/11/2017,,
"EGLIN AFB 5.6 NE, FL US",30.52436,-86.49238,9/11/2017,,
"RUSKIN 1.6 ESE, FL US",27.70357,-82.40661,9/11/2017,,
"MELBOURNE 1.1 N, FL US",28.1312,-80.6436,9/11/2017,,
"RIVERVIEW 4.9 S, FL US",27.79903,-82.316107,9/11/2017,,
"MIRAMAR 3.7 E, FL US",25.979063,-80.274199,9/11/2017,,
"NAPLES MUNICIPAL AIRPORT, FL US",26.15498,-81.77514,9/11/2017,,
"MARATHON AIRPORT, FL US",24.72624,-81.0477,9/11/2017,,14.1
"FORT PIERCE ST LUCIE CO INTERNATIONAL AIRPORT, FL US",27.49816,-80.37626,9/11/2017,17.45,44.1
"FORT MYERS SW FLORIDA REGIONAL AIRPORT, FL US",26.53805,-81.75674,9/11/2017,19.24,45
"APOLLO BEACH 2.7 ENE, FL US",27.7822,-82.3645,9/11/2017,,
"ORMOND BEACH 3.5 SE, FL US",29.265,-81.0472,9/11/2017,,
"DE LAND 4.5 NW, FL US",29.087,-81.344,9/11/2017,,
"DE LAND 5.7 NW, FL US",29.09954,-81.356858,9/11/2017,,
"PALM BAY 4.9 S, FL US",27.914683,-80.652338,9/11/2017,,
"MELBOURNE 4.6 NNW, FL US",28.1712,-80.6816,9/11/2017,,
"NAPLES, FL US",26.1653,-81.6843,9/11/2017,,
"MELBOURNE 4.7 N, FL US",28.1825,-80.6524,9/11/2017,,
"LA BELLE 2.3 WNW, FL US",26.763904,-81.474755,9/11/2017,,
"PALM BAY 2.7 SSE, FL US",27.950097,-80.642062,9/11/2017,,
"MERRITT ISLAND 3.8 N, FL US",28.365179,-80.66471,9/11/2017,,
"NETTLES ISLAND, FL US",27.28768,-80.22144,9/11/2017,,
"INDIALANTIC 3.3 NNW, FL US",28.132907,-80.585547,9/11/2017,,
"WESTON 2.8 SE, FL US",26.07204,-80.3679,9/11/2017,,
"PLANTATION 1.9 SE, FL US",26.106931,-80.23944,9/11/2017,,
"MIMS 1.6 SW, FL US",28.668625,-80.865034,9/11/2017,,
"TAMARAC 2.2 W, FL US",26.210471,-80.292299,9/11/2017,,
"FERNANDINA BEACH, FL US",30.6669,-81.4525,9/11/2017,,
"NORTHWEST FLORIDA BEACHES INTERNATIONAL AIRPORT, FL US",30.34869,-85.78835,9/11/2017,19.01,30
"TITUSVILLE 3.5 NW, FL US",28.6282,-80.8572,9/11/2017,,
"MYAKKA RIVER ST PK, FL US",27.24012,-82.31525,9/11/2017,,
"PLANTATION 3.4 E, FL US",26.118211,-80.206628,9/11/2017,,
"GAINESVILLE 5.0 SSW, FL US",29.605565,-82.360065,9/11/2017,,
"GAINESVILLE 2.4 NW, FL US",29.699087,-82.363345,9/11/2017,,
"ALACHUA 5.2 NNW, FL US",29.85194588,-82.49993896,9/11/2017,,
