NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2
"INVERNESS 3 SE, FL US",28.80286,-82.31266,9/29/2022,,
"MARIANNA 7 NE, FL US",30.7341,-85.0305,9/28/2022,,
"MARIANNA 7 NE, FL US",30.7341,-85.0305,9/29/2022,,
"JOHN PENNEKAMP STATE PARK, FL US",25.1936,-80.3493,9/28/2022,,
"JOHN PENNEKAMP STATE PARK, FL US",25.1936,-80.3493,9/29/2022,,
"CROSS CITY 1 E, FL US",29.6333,-83.1053,9/28/2022,,
"CROSS CITY 1 E, FL US",29.6333,-83.1053,9/29/2022,,
"PANAMA CITY 5 N, FL US",30.2491,-85.6605,9/28/2022,,
"PANAMA CITY 5 N, FL US",30.2491,-85.6605,9/29/2022,,
"NAVAL LIVE OAKS FLORIDA, FL US",30.3664,-87.1375,9/28/2022,,
"NAVAL LIVE OAKS FLORIDA, FL US",30.3664,-87.1375,9/29/2022,,
"DELAND 1 SSE, FL US",29.00982,-81.29804,9/28/2022,,
"DELAND 1 SSE, FL US",29.00982,-81.29804,9/29/2022,,
"MOUNTAIN LAKE, FL US",27.93779,-81.59928,9/28/2022,,
"MOUNTAIN LAKE, FL US",27.93779,-81.59928,9/29/2022,,
"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,9/28/2022,18.57,31.1
"JACKSONVILLE CRAIG MUNICIPAL AIRPORT, FL US",30.33708,-81.51277,9/29/2022,24.38,35.1
"ORLANDO WEST, FL US",28.5082,-81.5467,9/28/2022,6.04,
"JUNO BEACH, FL US",26.86,-80.0552,9/28/2022,,
"JUNO BEACH, FL US",26.86,-80.0552,9/29/2022,,
"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,9/28/2022,,
"TARPON SPGS SEWAGE PLANT, FL US",28.15225,-82.7538,9/29/2022,,
"CURRY HAMMOCK STATE PARK, FL US",24.74257,-80.98193,9/28/2022,,
"CURRY HAMMOCK STATE PARK, FL US",24.74257,-80.98193,9/29/2022,,
"DESOTO CITY, FL US",27.3697,-81.5136,9/28/2022,,
"DESOTO CITY, FL US",27.3697,-81.5136,9/29/2022,,
"CHEKIKA FLORIDA, FL US",25.625,-80.5797,9/28/2022,,
"CHEKIKA FLORIDA, FL US",25.625,-80.5797,9/29/2022,,
"CAPE FLORIDA, FL US",25.6719,-80.1566,9/28/2022,,
"CAPE FLORIDA, FL US",25.6719,-80.1566,9/29/2022,,
"APALACHICOLA AIRPORT, FL US",29.7258,-85.0205,9/28/2022,,
"APALACHICOLA AIRPORT, FL US",29.7258,-85.0205,9/29/2022,,
"CHIPLEY, FL US",30.7806,-85.5503,9/28/2022,,
"CHIPLEY, FL US",30.7806,-85.5503,9/29/2022,,
"LAKELAND 2, FL US",27.99437,-82.01378,9/28/2022,,
"LAKELAND 2, FL US",27.99437,-82.01378,9/29/2022,,
"ST AUGUSTINE AIRPORT, FL US",29.95917,-81.33972,9/28/2022,25.5,38
