City,HurricaneName,SizeRank,before,after,percent,increase
Zephyrhills,charley,1091,51175.29585,60166.38029,17.569188982031058,0
Longwood,charley,1094,116343.5084,134718.2114,15.79349226501407,0
Kendale Lakes,charley,1112,94028.60903,113932.2729,21.167668090942072,0
Seminole,charley,1116,78638.91701,93255.43126,18.586871241043802,0
Pine Hills,charley,1127,34725.6861,40495.93274,16.616652651248835,0
Pinellas Park,charley,1183,56531.77737,68046.05948,20.36780488014575,0
Windermere,charley,1197,204374.6994,236290.5551,15.61634380072389,0
Port Richey,charley,1219,51108.37124,61742.19362,20.80642000909125,0
Coral Gables,charley,1233,233690.9093,277270.4599,18.648372215478396,0
Palmetto,charley,1256,91270.27334,108489.7564,18.86647473471892,0
Haines City,charley,1259,51615.90591,59680.2126,15.62368527263924,0
Winter Springs,charley,1273,112913.8528,129694.3059,14.861288215647544,0
Country Club,charley,1294,69264.2338,86049.36998,24.233482793539544,1
Rockledge,charley,1305,97138.88474,123416.4362,27.051526821966277,1
Lake Mary,charley,1323,126195.7807,146859.1615,16.374066300300626,0
Panama City Beach,charley,1343,90145.5791,125049.955,38.72000851121051,1
Merritt Island,charley,1359,91969.91344,118001.3102,28.304252756508845,1
Oakland Park,charley,1363,77243.48896,95014.80965,23.00688501939982,0
Ocoee,charley,1374,103329.9821,119888.9957,16.025371594446455,0
Okeechobee,charley,1395,39174.43852,43936.34523,12.155647636325064,0
North Lauderdale,charley,1407,54252.10816,65124.90935,20.041251038455492,0
Brooksville,charley,1410,48299.30814,58061.52084,20.21191001681292,0
Cutler Bay,charley,1412,101705.7271,125303.1418,23.201657736341964,0
Hudson,charley,1414,69214.1776,82594.58948,19.33189462616688,0
North Miami Beach,charley,1455,66501.77029,83653.30196,25.791090365272733,1
Greenacres,charley,1467,64883.58825,79714.60966,22.85789335949681,0
Casselberry,charley,1483,81438.59173,94953.44723,16.59514882674655,0
Hallandale,charley,1494,73963.1252,90690.64534,22.616026695421475,0
Dunnellon,charley,1525,58697.67067,69369.58183,18.181149333842885,0
Eustis,charley,1621,64918.0763,75574.4526,16.415114105899658,0
Kendall West,charley,1644,87739.5812,106056.8258,20.876831584420653,0
Riviera Beach,charley,1645,53937.42187,65278.06516,21.025556833868002,0
Royal Palm Beach,charley,1656,106211.7119,130374.286,22.74944416934871,0
Lake Wales,charley,1671,33492.71285,38563.06386,15.138669216518835,0
Fernandina Beach,charley,1691,113749.4931,128063.7344,12.584004473247182,0
Egypt Lake-Leto,charley,1711,46665.1658,55077.72344,18.02748901837181,0
New Smyrna Beach,charley,1724,99997.35822,123324.0169,23.327274935283796,0
Golden Glades,charley,1730,46321.37975,57993.30008,25.19769573573637,1
Greater Carrollwood,charley,1741,89369.60409,102934.1626,15.178044759311863,0
Lauderdale Lakes,charley,1770,35392.58906,42416.35669,19.845306083973735,0
Auburndale,charley,1786,43110.57953,48447.4764,12.379552602131296,0
Tarpon Springs,charley,1796,77985.84223,91189.59324,16.930959046462306,0
Parkland,charley,1802,300961.3658,356739.1769,18.53321304272204,0
Arcadia,charley,1809,41119.39407,50396.18132,22.560612722569726,0
Navarre,charley,1868,85079.04404,106600.5047,25.295842122863622,1
West Little River,charley,1872,48511.7825,59988.47617,23.65753859899912,1
Dunedin,charley,1879,69352.88843,81974.17469,18.198645428789956,0
Bartow,charley,1903,35074.79082,39123.70704,11.543664624483707,0
Estero,charley,1911,144907.6559,166942.9409,15.206432581592793,0
Inverness,charley,1954,54851.20532,63932.0311,16.5553805554915,0
Cooper City,charley,1956,183134.1114,219587.0436,19.90504768408755,0
Palm City,charley,2064,157667.7223,191212.908,21.27587385081417,0
Dania Beach,charley,2071,69987.93287,85204.78656,21.742110483909748,0
Cantonment,charley,2085,75129.56619,85682.00572,14.045654813596634,0
Miami Lakes,charley,2105,153018.2775,187405.788,22.47281243902383,0
Ruskin,charley,2108,79646.13805,94138.14831,18.1954964984018,0
