City,HurricaneName,SizeRank,before,after,percent,increase
Zephyrhills,charley,1091,175535.8914,204564.0631,16.536886826097838,0
Longwood,charley,1094,363791.7419,422028.4863,16.00826453504495,0
Kendale Lakes,charley,1112,276053.2821,336587.2327,21.92835750385015,1
Seminole,charley,1116,272374.8178,319162.9862,17.177861293460577,0
Pine Hills,charley,1127,136509.6326,158173.1532,15.869591169055704,0
Pinellas Park,charley,1183,184791.0056,214533.0346,16.094954894276526,0
Windermere,charley,1197,728170.99,835717.6905,14.769429430304553,0
Port Richey,charley,1219,143567.6461,170729.5928,18.919267284692214,0
Coral Gables,charley,1233,1125657.392,1328013.511,17.976705917638565,0
Palmetto,charley,1256,289780.219,341702.6467,17.91786474562641,0
Haines City,charley,1259,196395.1923,227756.2958,15.96836619711897,0
Winter Springs,charley,1273,323825.5339,370152.506,14.30615169287613,0
Country Club,charley,1294,247037.8457,304537.4777,23.27563691185475,1
Rockledge,charley,1305,304494.126,386015.5856,26.77275278538542,1
Lake Mary,charley,1323,393941.8325,454616.093,15.401832325080624,0
Panama City Beach,charley,1343,351657.4062,468934.2673,33.34974865659461,1
Merritt Island,charley,1359,340226.1356,433188.3829,27.323664343439713,1
Oakland Park,charley,1363,246158.3544,302613.2976,22.93440063718592,1
Ocoee,charley,1374,295765.6561,342998.5949,15.969717181777957,0
Okeechobee,charley,1395,180939.8262,203034.1742,12.210881630657825,0
North Lauderdale,charley,1407,163709.5317,196506.0858,20.03338092744664,0
Brooksville,charley,1410,231523.479,271932.0594,17.4533401858565,0
Cutler Bay,charley,1412,306880.6938,377255.8364,22.932411201424348,1
Hudson,charley,1414,209518.629,248491.6046,18.601198273400314,0
North Miami Beach,charley,1455,287698.2629,359397.0625,24.921526768106194,1
Greenacres,charley,1467,218800.3681,266775.8502,21.926600268822856,1
Casselberry,charley,1483,210762.8159,243558.088,15.56027421628314,0
Hallandale,charley,1494,272263.5792,331902.8297,21.904968220589684,0
Dunnellon,charley,1525,181754.9999,209687.188,15.36804385869332,0
Aventura,charley,1547,551009.3561,660001.9835,19.780540238271282,0
Eustis,charley,1621,221157.0619,257915.5404,16.620983379052568,0
Kendall West,charley,1644,257119.9026,313453.2404,21.909364942330996,1
Riviera Beach,charley,1645,388487.7742,475164.4453,22.311299571393317,1
Royal Palm Beach,charley,1656,322344.7983,392249.9767,21.686460823524932,0
Lake Wales,charley,1671,154631.0582,177145.5267,14.560120561860055,0
Egypt Lake-Leto,charley,1711,176573.5798,206165.2124,16.758811048355934,0
