NAME,LATITUDE,LONGITUDE,DATE,AWND,WSF2,HurricaneName
"SANFORD, FL US",28.8147,-81.2778,9/11/2017,,,irma
"DEVILS GARDEN, FL US",26.66388,-81.08998,9/11/2017,,,irma
"OCALA, FL US",29.1638,-82.0777,9/11/2017,,,irma
"WHITING FIELD NAS SOUTH, FL US",30.69729,-87.02073,9/11/2017,16.33,25.1,irma
"CHOCTAW NAVAL OUTLYING FIELD MILTON, FL US",30.51195,-86.95406,9/11/2017,,,irma
"OCALA 1.1 SE, FL US",29.177855,-82.116006,9/11/2017,,,irma
"OCALA 4.6 N, FL US",29.254215,-82.126714,9/11/2017,,,irma
"OCALA 10.7 WSW, FL US",29.111687,-82.284807,9/11/2017,,,irma
"ELLENTON 6.6 E, FL US",27.54,-82.422,9/11/2017,,,irma
"TALLAHASSEE 4.3 N, FL US",30.519525,-84.278754,9/11/2017,,,irma
"TALLAHASSEE 1.3 SW, FL US",30.446293,-84.29968,9/11/2017,,,irma
"DESTIN FORT WALTON BEACH AIRPORT, FL US",30.39333,-86.46738,9/11/2017,17.22,30.0,irma
"SANBORN FLORIDA, FL US",30.23,-84.68,9/11/2017,,,irma
"DEERFIELD BEACH 2.5 ESE, FL US",26.303831,-80.081289,9/11/2017,,,irma
"OCALA 9.8 SW, FL US",29.100556,-82.258611,9/11/2017,,,irma
"MICANOPY 4.6 SSE, FL US",29.4453,-82.2492,9/11/2017,,,irma
"WILMA FLORIDA, FL US",30.1694,-84.9344,9/11/2017,,,irma
"INTERLACHEN 8.8 S, FL US",29.489807,-81.904317,9/11/2017,,,irma
"BRADENTON 10.8 SE, FL US",27.430921,-82.415236,9/11/2017,,,irma
"BRADENTON 11.0 E, FL US",27.504967,-82.400487,9/11/2017,,,irma
"STARKE 0.9 ESE, FL US",29.942964,-82.097943,9/11/2017,,,irma
"TALLAHASSEE 3.3 SSE, FL US",30.413989,-84.256817,9/11/2017,,,irma
"TALLAHASSEE 3.5 N, FL US",30.508166,-84.283457,9/11/2017,,,irma
"FORT LAUDERDALE 1.9 SSW, FL US",26.11786,-80.152112,9/11/2017,,,irma
"BRADENTON, FL US",27.4467,-82.5014,9/11/2017,,,irma
"OCALA 14.3 S, FL US",28.976,-82.1746,9/11/2017,,,irma
"BRADENTON 3.5 WNW, FL US",27.50992,-82.62971,9/11/2017,,,irma
"SARASOTA 6.4 NNE, FL US",27.423676,-82.492256,9/11/2017,,,irma
"PALMETTO 6.4 ENE, FL US",27.562194,-82.483024,9/11/2017,,,irma
"NICEVILLE, FL US",30.5316,-86.4928,9/11/2017,,,irma
"FORT MYERS 4.5 SE, FL US",26.582677,-81.802369,9/11/2017,,,irma
"TALLAHASSEE 14.2 NE, FL US",30.603299,-84.112587,9/11/2017,,,irma
"FORT MYERS 0.8 N, FL US",26.64226151,-81.84883881,9/11/2017,,,irma
"LOWER SUWANNEE FLORIDA, FL US",29.3731,-83.0344,9/11/2017,,,irma
"MIRAMAR 3.0 WNW, FL US",25.9917,-80.3791,9/11/2017,,,irma
"TALLAHASSEE 9.6 N, FL US",30.594969,-84.267948,9/11/2017,,,irma
"POMPANO BEACH HIGHLANDS 0.7 E, FL US",26.286,-80.103,9/11/2017,,,irma
"THE VILLAGES 2.7 NNW, FL US",28.9744,-81.9986,9/11/2017,,,irma
"OCKLAWAHA 4.9 NE, FL US",29.136486,-81.839062,9/11/2017,,,irma
"TALLAHASSEE 10.8 N, FL US",30.611569,-84.256832,9/11/2017,,,irma
"BELLEVIEW 4.8 E, FL US",29.0609,-81.9759,9/11/2017,,,irma
"PIERSON 1.5 SW, FL US",29.22407,-81.47947,9/11/2017,,,irma
"LAKE CITY 7.9 SSW, FL US",30.0812,-82.671,9/11/2017,,,irma
"THE VILLAGES 2.6 NW, FL US",28.963717,-82.012148,9/11/2017,,,irma
"PORT SALERNO 5 W, FL US",27.0997,-80.2627,9/11/2017,,,irma
"TALLAHASSEE 5.2 E, FL US",30.442466,-84.194941,9/11/2017,,,irma
"FORT WHITE 3.2 WNW, FL US",29.94478035,-82.76044464,9/11/2017,,,irma
"TALLAHASSEE 10.2 NE, FL US",30.5486222,-84.14635,9/11/2017,,,irma
"TALLAHASSEE 4.2 N, FL US",30.517503,-84.283956,9/11/2017,,,irma
"MIMS 8.5 W, FL US",28.69084,-80.98698,9/11/2017,,,irma
"DESTIN 1.2 NW, FL US",30.40255,-86.490553,9/11/2017,,,irma
"MICANOPY 3.6 SSW, FL US",29.457061,-82.299833,9/11/2017,,,irma
"NICEVILLE 2.1 SE, FL US",30.509971,-86.458237,9/11/2017,,,irma
"OCALA WEATHER SERVICE, FL US",29.08046,-82.173797,9/11/2017,,,irma
"DAYTONA BEACH SHORES 1.8 SSE, FL US",29.149417,-80.969621,9/11/2017,,,irma
"LADY LAKE 4.8 WNW, FL US",28.96094,-81.9979,9/11/2017,,,irma
"EDGEWATER 0.1 SW, FL US",28.966198,-80.906013,9/11/2017,,,irma
"LECANTO 1.9 E, FL US",28.852984,-82.45467,9/11/2017,,,irma
"HERNANDO 2.9 W, FL US",28.91421,-82.42147,9/11/2017,,,irma
"DE LAND 1.3 WSW, FL US",29.025917,-81.31653,9/11/2017,,,irma
"PORT ORANGE 2.9 WSW, FL US",29.1,-81.05276,9/11/2017,,,irma
"HAMMOCKS 0.5 SSE, FL US",25.665,-80.4395,9/11/2017,,,irma
"BELLEVIEW 6.0 SSE, FL US",28.977361,-82.024456,9/11/2017,,,irma
"SPRING HILL 2.4 WSW, FL US",28.471471,-82.599183,9/11/2017,,,irma
"MIRAMAR BEACH 9.5 ESE, FL US",30.34628,-86.204803,9/11/2017,,,irma
"DE FUNIAK SPRINGS 12.5 NW, FL US",30.84455,-86.275704,9/11/2017,,,irma
"DEFUNIAK SPRINGS 3.6 NW, FL US",30.761972,-86.157031,9/11/2017,,,irma
"CROSS CITY 1 E, FL US",29.6333,-83.1053,9/11/2017,,,irma
"WEEKI WACHEE 7.1 NNE, FL US",28.61052,-82.5351,9/11/2017,,,irma
